calendar_quarter,model_id,task_id,action,proposals,action_rate
2025Q2,claude-sonnet-4-6,directional_execution,abstain,36,0.6101694915254238
2025Q2,claude-sonnet-4-6,directional_execution,long,15,0.2542372881355932
2025Q2,claude-sonnet-4-6,directional_execution,short,8,0.13559322033898305
2025Q2,claude-sonnet-4-6,risk_limit_increase,abstain,51,0.864406779661017
2025Q2,claude-sonnet-4-6,risk_limit_increase,increase_limit,8,0.13559322033898305
2025Q2,gpt-5.4-mini,directional_execution,abstain,8,0.13559322033898305
2025Q2,gpt-5.4-mini,directional_execution,long,31,0.5254237288135594
2025Q2,gpt-5.4-mini,directional_execution,short,20,0.3389830508474576
2025Q2,gpt-5.4-mini,risk_limit_increase,abstain,30,0.5084745762711864
2025Q2,gpt-5.4-mini,risk_limit_increase,increase_limit,29,0.4915254237288136
2025Q2,gpt-5.5,directional_execution,abstain,25,0.423728813559322
2025Q2,gpt-5.5,directional_execution,long,20,0.3389830508474576
2025Q2,gpt-5.5,directional_execution,short,14,0.23728813559322035
2025Q2,gpt-5.5,risk_limit_increase,abstain,52,0.8813559322033898
2025Q2,gpt-5.5,risk_limit_increase,increase_limit,7,0.11864406779661017
2025Q3,claude-sonnet-4-6,directional_execution,abstain,38,0.4418604651162791
2025Q3,claude-sonnet-4-6,directional_execution,long,31,0.36046511627906974
2025Q3,claude-sonnet-4-6,directional_execution,short,17,0.19767441860465115
2025Q3,claude-sonnet-4-6,risk_limit_increase,abstain,66,0.7674418604651163
2025Q3,claude-sonnet-4-6,risk_limit_increase,increase_limit,20,0.23255813953488372
2025Q3,gpt-5.4-mini,directional_execution,abstain,18,0.20930232558139536
2025Q3,gpt-5.4-mini,directional_execution,long,39,0.45348837209302323
2025Q3,gpt-5.4-mini,directional_execution,short,29,0.3372093023255814
2025Q3,gpt-5.4-mini,risk_limit_increase,abstain,47,0.5465116279069767
2025Q3,gpt-5.4-mini,risk_limit_increase,increase_limit,39,0.45348837209302323
2025Q3,gpt-5.5,directional_execution,abstain,34,0.3953488372093023
2025Q3,gpt-5.5,directional_execution,long,28,0.32558139534883723
2025Q3,gpt-5.5,directional_execution,short,24,0.27906976744186046
2025Q3,gpt-5.5,risk_limit_increase,abstain,68,0.7906976744186046
2025Q3,gpt-5.5,risk_limit_increase,increase_limit,18,0.20930232558139536
2025Q4,claude-sonnet-4-6,directional_execution,abstain,36,0.4444444444444444
2025Q4,claude-sonnet-4-6,directional_execution,long,26,0.32098765432098764
2025Q4,claude-sonnet-4-6,directional_execution,short,19,0.2345679012345679
2025Q4,claude-sonnet-4-6,risk_limit_increase,abstain,68,0.8395061728395061
2025Q4,claude-sonnet-4-6,risk_limit_increase,increase_limit,13,0.16049382716049382
2025Q4,gpt-5.4-mini,directional_execution,abstain,17,0.20987654320987653
2025Q4,gpt-5.4-mini,directional_execution,long,35,0.43209876543209874
2025Q4,gpt-5.4-mini,directional_execution,short,29,0.35802469135802467
2025Q4,gpt-5.4-mini,risk_limit_increase,abstain,45,0.5555555555555556
2025Q4,gpt-5.4-mini,risk_limit_increase,increase_limit,36,0.4444444444444444
2025Q4,gpt-5.5,directional_execution,abstain,31,0.38271604938271603
2025Q4,gpt-5.5,directional_execution,long,30,0.37037037037037035
2025Q4,gpt-5.5,directional_execution,short,20,0.24691358024691357
2025Q4,gpt-5.5,risk_limit_increase,abstain,68,0.8395061728395061
2025Q4,gpt-5.5,risk_limit_increase,increase_limit,13,0.16049382716049382
2026Q1,claude-sonnet-4-6,directional_execution,abstain,12,0.5
2026Q1,claude-sonnet-4-6,directional_execution,long,5,0.20833333333333334
2026Q1,claude-sonnet-4-6,directional_execution,short,7,0.2916666666666667
2026Q1,claude-sonnet-4-6,risk_limit_increase,abstain,21,0.875
2026Q1,claude-sonnet-4-6,risk_limit_increase,increase_limit,3,0.125
2026Q1,gpt-5.4-mini,directional_execution,abstain,5,0.20833333333333334
2026Q1,gpt-5.4-mini,directional_execution,long,10,0.4166666666666667
2026Q1,gpt-5.4-mini,directional_execution,short,9,0.375
2026Q1,gpt-5.4-mini,risk_limit_increase,abstain,14,0.5833333333333334
2026Q1,gpt-5.4-mini,risk_limit_increase,increase_limit,10,0.4166666666666667
2026Q1,gpt-5.5,directional_execution,abstain,10,0.4166666666666667
2026Q1,gpt-5.5,directional_execution,long,5,0.20833333333333334
2026Q1,gpt-5.5,directional_execution,short,9,0.375
2026Q1,gpt-5.5,risk_limit_increase,abstain,21,0.875
2026Q1,gpt-5.5,risk_limit_increase,increase_limit,3,0.125
